,0
Use Case_x_Other,0.09714316004098426
Source_Inbound,0.025358761684418665
Source_Outbound,0.022939788795745635
Month,0.020654819230970352
Use Case_x_Sports Events,0.01582226822804798
Use Case_x_Educational Seminars,0.011983192276865322
Day_of_Month,0.01000955451571546
Campaign_Group_Others,0.009933523466001543
Use Case_x_Corporate Events,0.007544820995172115
Acquisition Campaign_Digital kit,0.006488136458675732
Acquisition Campaign_TradeShow,0.004900859811408064
City_San Diego,0.00394987116913677
Weekday,0.0038778171904027417
Acquisition Campaign_Unknown,0.0038722283812166617
Acquisition Campaign_TradeShow 6,0.0036348618303985013
Campaign_Group_ArtFair,0.0034902502348085097
Campaign_Group_Follow-up,0.002630769910710972
Acquisition Campaign_ArtFair,0.002563907371997718
Campaign_Group_VirtualMeetups,0.0025506427345223315
Acquisition Campaign_VirtualMeetups,0.0024293051856084
Campaign_Group_Digital Marketing,0.002292769611825249
City_Other,0.0022095355314468014
Campaign_Group_Corporate,0.0018420226422183523
Acquisition Campaign_Corporate Connect,0.0015678096243278079
City_Jacksonville,0.0014096668526980157
Acquisition Campaign_Follow-up: digital guide 2,0.001339053167616516
City_San Jose,0.0011514302819403508
City_Washington,0.0011040964210224855
City_Chicago,0.0010973842944415493
City_San Francisco,0.0010643394521901801
City_Charlotte,0.0010358937229748635
Campaign_Group_Education,0.0009156850268118652
City_Dallas,0.0008866758564406667
Campaign_Group_TradeShow,0.0007983760372506118
City_Columbus,0.0007480043336199994
City_San Antonio,0.000552108275338725
City_New York,0.0004984093130434498
City_Houston,0.00047780711134214553
City_Seattle,0.00037350667750137424
Acquisition Campaign_TradeShow 5,0.00036959806478301
Acquisition Campaign_Branding book,0.0003358422698309088
City_Philadelphia,0.000314710092549101
Acquisition Campaign_Follow-up: digital guide,0.00031332806809186204
City_Phoenix,0.000291880430873081
City_Indianapolis,0.00027941732316844633
Acquisition Campaign_EducationExpo 2,0.0002686943065899944
Acquisition Campaign_TradeShow 8,0.00024307905504499219
City_Austin,0.00020852061629780626
Acquisition Campaign_Digital kit 4,0.0001748595811228555
City_Los Angeles,0.00014812394590502735
Acquisition Campaign_EducationExpo 3,0.0001449850205394074
City_Denver,0.0001319699853753815
Campaign_Group_Events,0.00012597689814007978
Acquisition Campaign_FestivalFever,0.00010294685259572594
Acquisition Campaign_TradeShow 7,7.909812558554299e-05
Acquisition Campaign_Digital kit 2,6.403236215166372e-05
City_Fort Worth,6.345278958680877e-05
Campaign_Group_Community & Specials,5.130283631257767e-05
Acquisition Campaign_EducationExpo,3.04513305825313e-05
Campaign_Group_Follow-up & Recommendations,2.347235064075152e-05
Acquisition Campaign_CommunityOutreach,1.4533798627396124e-05
Acquisition Campaign_TradeShow 3,1.2379090652921704e-05
Acquisition Campaign_Stu Campaign,8.391054208374614e-06
Acquisition Campaign_Event Management Guide,4.245174081013748e-06
Acquisition Campaign_TechEvent,1.8741788361346436e-06
Acquisition Campaign_FB Campaign,3.756609684202221e-07
Acquisition Campaign_Digital kit 3,8.820314406814784e-08
Acquisition Campaign_recommendation,0.0
Acquisition Campaign_EducationExpo 5,0.0
Use Case_x_Concerts and festivals,0.0
Acquisition Campaign_EducationExpo 6,0.0
Use Case_x_Wedding Planning,0.0
Acquisition Campaign_FB Webinar,0.0
Acquisition Campaign_Healthcare,0.0
Acquisition Campaign_June Launch,0.0
Acquisition Campaign_Recommendation 2,0.0
Source_nan,0.0
Acquisition Campaign_Recommendation 3,0.0
Acquisition Campaign_Recommendation 4,0.0
Acquisition Campaign_Recommendation 6,0.0
Acquisition Campaign_Specials,0.0
Acquisition Campaign_Stars,0.0
Acquisition Campaign_Cryptoshow,0.0
Acquisition Campaign_Corporate Event Guide A,0.0
Acquisition Campaign_unknown,0.0
